22-Sep	29-Sep	6-Oct	15-Oct	20-Oct	27-Oct	3-Nov	10-Nov	17-Nov	25-Nov	1-Dec	8-Dec	15-Dec	22-Dec	29-Dec	5-Jan	12-Jan	20-Jan	26-Jan	2-Feb	10-Feb	17-Feb	24-Feb	2-Mar	9-Mar	16-Mar	23-Mar	30-Mar	8-Apr	15-Apr	20-Apr	27-Apr	4-May	11-May	18-May	25-May	1-Jun	8-Jun	15-Jun	22-Jun	29-Jun	6-Jul	13-Jul	19-Jul	27-Jul	3-Aug	10-Aug	17-Aug	24-Aug	30-Aug	6-Sep	13-Sep	21-Sep
Process begins for new DNRC mapping	Mass flu shot clinic has plenty to offer		School history	Show to spotlight H.G. Wells	Silver Bells set for Nov. 14		Silver Bells continue to ring in Fairview	SEA expresses concerns with pay					Year in Review: Awards among highlights in county during first three months of 2015															MSU publishes findings about liver?s backup system	Sentencing on Spell set for Friday																							
	Montana legislators explain appraisals		The Guardians Foundation helps veterans obtain jobs in oilfield	Sidney Chamber announces plans for Christmas Stroll, Parade of Lights	Successful harvest requires assistance from out-of-state workers		Wagon Wheel residents dealing with drainage, road problems	Sidney High School?s art class features car hoods, motorcycle helmets, boards					Zinke helps lift crude oil exports ban															Prairie potholes stuck in EPA?s spin	Shooting range development grant deadline nears																							
	Motion made to dismiss charges in Johnston case		Three sentenced in Montana meth conspiracy	Sunrise Village nears completion of phase one	Tester helps secure $20 million for rural electric			Students earn honors at home meet																				Real fossilized T. rex to be featured at museum	Steering committee to concentrate on community complex project																							
	MSU to host annual ag outlook conference		Treasure hunt is new event at this year?s Festival					Train ND-Northwest receives two awards since move to new location																				Rosendale looks forward to passing budget bill	Trustees make personnel decisions																							
	Sidney is site for Class A state golf tournament		Two generation of teachers support Fairview community, school system					?Photographs and Memories? theme for MonDak Christmas on Dec. 6																				Second Color Race scheduled in Sidney																								
	State officials speak out regarding recent sage grouse ruling		Two parades scheduled for Saturday																									Senate injects money into budget bill																								
	Take a Kid Mountain Biking Day set for Saturday		Two potential ballot issues deal with marijuana in Montana																									Sidney residents enjoy third warmest March in history																								
			Volunteers needed for health assessment survey																									Tester helps secure $6 million grant to assist homeless veterans																								
																												Tricky water issues rise to surface of lawmakers? agenda																								
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
